"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 11 00:24:36 MSK 2022","Thu Aug 11 00:24:58 MSK 2022","21286","","","","","","Документ.ВозвратПодарочныхСертификатов.Форма.ФормаДокументаРМК.Форма. Возможно ошибочный метод","Возможно ошибочный метод: ""ЗаписатьВЖурналФискальныхОперацийУпрощенно"""
"failed","Thu Aug 11 02:14:56 MSK 2022","Thu Aug 11 02:15:18 MSK 2022","21286","","","","","","Документ.ЧекККМ.Форма.ФормаДокументаРМК.Форма. Возможно ошибочный метод","Возможно ошибочный метод: ""ЗаписатьВЖурналФискальныхОперацийУпрощенно"""
"failed","Wed Aug 10 22:55:55 MSK 2022","Wed Aug 10 22:56:16 MSK 2022","21286","","","","","","Документ.LAD_РезервированиеТоваров.Форма.ФормаДокумента.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""ПроверитьНаРазномеры"""
"failed","Thu Aug 11 04:03:09 MSK 2022","Thu Aug 11 04:03:30 MSK 2022","21286","","","","","","Обработка.toledo_РаботаCWacomSTU.Форма.РаботаСWacomSTUКлиент.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""ОбработчикOnPenData"""
"failed","Thu Aug 11 01:19:57 MSK 2022","Thu Aug 11 01:20:18 MSK 2022","21286","","","","","","Документ.ПриходныйКассовыйОрдер.Форма.ФормаДокумента.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""LAD_ОрганизацияПриИзменении"""
"failed","Wed Aug 10 17:12:30 MSK 2022","Wed Aug 10 17:12:51 MSK 2022","21286","","","","","","ОбщийМодуль.toledo_ДоставкаРасчетСтоимостиСервер.Модуль. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ПолучитьДанныеПричинПлатностиПоГрафику_ТекстЗапроса"""
"failed","Wed Aug 10 20:38:16 MSK 2022","Wed Aug 10 20:38:37 MSK 2022","21286","","","","","","ПланОбмена.Б_ОбменССайтом.Форма.УстановкаСоответствийПлатежныхСистем.Форма. 102,28: Переменная не определена","Строка 102,28: Переменная не определена (ТипУзлаXML) #> Если ЧтениеXML.ТипУзла = <<?>>ТипУзлаXML.НачалоЭлемента И ЧтениеXML.ЛокальноеИмя = ""ПлатежныеСистемы"" тогда (Проверка: Веб-клиент)"
"failed","Wed Aug 10 21:49:56 MSK 2022","Wed Aug 10 21:50:17 MSK 2022","21286","","","","","","Справочник.Партнеры.Форма.CRM_Модуль_ФормаСписка.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ЭтоГруппаПартнеров"""
"failed","Thu Aug 11 01:27:03 MSK 2022","Thu Aug 11 01:27:24 MSK 2022","21286","","","","","","Документ.РеализацияТоваровУслуг.МодульМенеджера. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""ТекстЗапросаТаблицаLAD_ПродажиПланСеб"""
"failed","Thu Aug 11 04:25:51 MSK 2022","Thu Aug 11 04:26:12 MSK 2022","21286","","","","","","Обработка.РаботаСАкцизнымиМаркамиЕГАИС.Форма.ФормаВводаАкцизнойМаркиПоискНоменклатуры.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""ЗакрытьФормуПриСканировании"""
